data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-04-27,202518,149.0,69,332,16,0.06663005,9.969316,0,2,261160620251820213,2025-05-05,,0.8465109,1494586,24.7155,85.529575,1,0,1,70.18405,53.323375,27.602575,30.880575,16,,,,,3074
2025-04-20,202517,171.0,112,277,68,0.057769287,11.441296,0,2,261160620251720213,2025-05-05,,0.84941095,1494586,25.105,86.3539714285714,1,0,1,76.0493714285714,61.3493571428571,27.1471857142857,30.0599285714286,68,,,,,3074
2025-04-13,202516,168.0,122,251,80,0.00026161835,11.240571,0,2,261160620251620213,2025-05-05,,0.70703787,1494586,24.9340285714286,86.8258571428571,1,0,1,74.1709285714286,57.4821142857143,27.2939571428571,30.4793285714286,79,,,,,3074
2025-04-06,202515,184.0,144,251,110,0.00030767708,12.311102,0,2,261160620251520213,2025-05-05,,0.71994466,1494586,24.6608,89.4494571428571,1,0,1,79.4529142857143,67.3704857142857,26.8357285714286,29.6168428571429,102,,,,,3074
2025-03-30,202514,255.0,226,312,199,0.7058364,17.06158,0,3,261160620251420213,2025-05-05,,1.0496732,1494586,24.7762857142857,87.1127142857143,1,0,1,77.5126,64.8956,26.7055428571429,29.2908142857143,176,,,,,3074
2025-03-23,202513,282.0,261,325,243,0.9989606,18.868101,0,3,261160620251320213,2025-05-05,,1.3200625,1494586,24.4450571428571,87.5504142857143,1,1,1,75.5245428571429,59.5778428571429,26.9357857142857,30.0472714285714,216,,,,,3074
2025-03-16,202512,241.0,227,269,218,0.9935315,16.124866,0,2,261160620251220213,2025-05-05,,1.2715058,1494586,24.5243714285714,90.4963,1,1,1,80.1150571428571,68.2559714285714,26.6636857142857,29.2073,174,,,,,3074
2025-03-09,202511,230.0,221,248,217,0.9472362,15.388877,0,2,261160620251120213,2025-05-05,,1.169784,1494586,24.6875571428571,88.4147714285714,1,0,1,80.1470714285714,67.7519571428571,26.5483428571429,29.3517857142857,154,,,,,3074
2025-03-02,202510,153.0,147,166,146,0.00039595712,10.236949,0,2,261160620251020213,2025-05-05,,0.70396984,1494586,24.4702142857143,88.1969571428571,1,0,1,78.9480142857143,67.3296142857143,26.3444142857143,28.9310285714286,96,,,,,3074
2025-02-23,202509,189.0,186,197,186,0.06985441,12.645642,0,3,261160620250920213,2025-05-05,,0.86388314,1494586,24.7749285714286,86.7006714285714,1,0,1,75.9639285714286,63.5784285714286,26.8540857142857,29.4492142857143,103,,,,,3074
2025-02-16,202508,242.0,242,242,242,0.969861,16.191774,0,3,261160620250820213,2025-05-05,,1.1953256,1494586,24.8727,86.1751428571429,1,1,1,74.6483857142857,59.8858857142857,27.1140714285714,30.0875285714286,112,,,,,3074
2025-02-09,202507,228.0,228,228,228,0.97845244,15.25506,0,2,261160620250720213,2025-05-05,,1.2200718,1494586,24.6572428571429,85.8404428571429,1,1,1,74.7884285714286,61.1998,26.8668571428571,29.6461571428571,101,,,,,3074
2025-02-02,202506,200.0,200,200,200,0.7964184,13.381632,0,2,261160620250620213,2025-05-05,,1.0882477,1494586,24.0792428571429,91.0443857142857,1,0,1,80.3356,66.1784142857143,26.1815,28.8971857142857,102,,,,,3074
2025-01-26,202505,183.0,183,183,183,0.34916046,12.244193,0,2,261160620250520213,2025-05-05,,0.96072173,1494586,24.1228857142857,90.6209285714286,1,0,1,81.2795,70.9299571428571,26.1058142857143,28.4617714285714,84,,,,,3074
2025-01-19,202504,171.0,171,171,171,0.21559036,11.441296,0,3,261160620250420213,2025-05-05,,0.9200941,1494586,24.3381714285714,88.9679571428571,1,0,1,75.4144857142857,60.2216428571429,26.9978571428571,30.1377571428571,82,,,,,3074
2025-01-12,202503,201.0,201,201,201,0.98255175,13.448541,0,3,261160620250320213,2025-05-05,,1.248812,1494586,24.5111,90.3379714285714,1,1,1,80.2064,67.3561428571429,26.4179,28.8420857142857,97,,,,,3074
2025-01-05,202502,206.0,206,206,206,0.99993527,13.783081,0,3,261160620250220213,2025-05-05,,1.5191956,1494586,25.2115714285714,86.1609714285714,1,1,1,74.6592428571429,61.2669428571429,27.3899,30.2393428571429,88,,,,,3074
2024-12-29,202501,160.0,160,160,160,0.9704291,10.705306,0,2,261160620250120213,2025-05-05,,1.2495041,1494586,25.2392428571429,82.8803285714286,1,1,1,72.5648142857143,57.7416285714286,27.2020571428571,30.1328142857143,63,,,,,3074
